state_code,city,lat,lon,price_per_gallon,name,address,opis_id
MS,New Augusta,33.806352,-87.675755,3.199,CIRCLE K #2723390,US-98,65213
MS,Newton,31.90047,-91.169872,3.249,NEWTON CROSSING,"I-20, EXIT 109 & SR-15",65214
MS,Pelahatchie,32.559293,-88.169872,3.199,STUCKEYS EXPRESS,US-43S,65216
MS,Terry,33.782822,-89.352225,2.899,CEFCO #544,"I-55/US-51, EXIT 81",65221
MS,Water Valley,32.841646,-90.975755,3.0657,SHELL EXPRESS MART,SR-7 & SR-315,65223
MS,Wiggins,32.053411,-89.211049,3.509,CIRCLE K #2723402,US-49,65225
NC,Bethel,34.541831,-80.821125,3.0073,COUNTRY MART,US-13/SR-11,65234
NC,Goldsboro,35.083007,-78.121125,3.5407,CIRCLE K #2723474,US-70,65241
NC,Lumberton,36.247713,-80.327007,3.159,DOBBS PLACE,"I-95, EXIT 17",65246
NC,Morehead City,36.741831,-77.644654,3.649,CIRCLE K #2723473,US-70,65250
NC,New Bern,35.718301,-78.756419,3.2657,SPEEDWAY #8277,US-17 & SR-43,65251
NC,Oak City,36.56536,-79.127007,3.1973,SPEEDWAY #6964,SR-125 & SR-11/SR-42,65252
NC,Wilson,34.306537,-80.415243,3.049,CIRCLE K #2720939,"I-795/US-264, EXIT 43A & US-301",65267
NC,Winston Salem,36.177125,-78.138772,3.609,SPEEDWAY #6931,"I-40, EXIT 195 & SR-109",65268
ND,Beach,47.12303,-97.834012,3.499,INTERSTATE CENEX,"I-94, EXIT 1 & SR-16",65270
ND,Grand Forks,47.181853,-100.481071,3.539,SIMONSON TRAVEL CENTER,"I-29, EXIT 141 & US-2",65273
ND,Rugby,48.464206,-97.886953,3.399,CENEX C STORE,US-2 & SR-3,65274
NE,Hebron,42.190076,-98.418082,3.284,HEBRON SINCLAIR,US-81,65282
NE,Laurel,41.143017,-99.98867,3.139,CUBBYS #2107,US-20/SR-15,65283
NE,Lexington,38.0406,-84.5037,3.0573,Caseys #4526,"I-80, EXIT 237",65284
NE,Overton,41.084194,-96.900435,2.899,AM ENERGY,"I-80, EXIT 248",65287
NE,Roca,40.62537,-99.08867,3.349,SHOEMAKERS SOUTH,US-77,65289
NE,Scottsbluff,41.507723,-99.829847,3.599,ESSENTIAL FUEL #3,ST 71,65290
NE,Syracuse,41.495958,-96.865141,3.319,CUBBYS #117,SR-2 & SR-50,65292
NE,Trenton,40.448899,-99.618082,3.499,TRAILS WEST SINCLAIR,US-34 & SR-25,65293
NE,Wayne,42.284194,-97.235729,3.244,PRIME STOP,ST 35,65294
NH,Bow,43.681904,-70.443308,4.199,CIRCLE K #4707214,"I-93, EXIT 12S & I-89 & SR-3A",65296
NH,Epping,42.058374,-71.555072,4.029,EPPING FUELING CENTER,SR-27 & SR-125,65299
NJ,East Rutherford,41.14008,-74.282776,3.1923,SUNOCO,SR-17,65308
NJ,Edison,41.445963,-76.365129,3.159,Edison Fuel Stop,US-1,65310
NJ,Richwood,39.493022,-74.882776,3.399,Union 76,"I-55, EXIT 50A",65314
